frame_id,timestamp,x,y
0,0.0,604,652
1,0.03320908546447754,605,632
2,0.06754779815673828,605,612
3,0.10124373435974121,606,592
4,0.1359713077545166,607,572
5,0.17003989219665527,608,552
6,0.20247220993041992,608,532
7,0.23584628105163574,609,512
8,0.2697136402130127,610,492
9,0.3042261600494385,611,472
10,0.3383347988128662,611,452
11,0.37240028381347656,612,432
12,0.4060549736022949,613,412
13,0.4394099712371826,614,392
14,0.4732639789581299,614,372
15,0.5072555541992188,615,352
16,0.5410604476928711,616,332
17,0.5745894908905029,617,312
18,0.6082079410552979,617,292
19,0.6425492763519287,618,272
20,0.6755428314208984,619,252
21,0.7101099491119385,620,232
22,0.7435054779052734,620,212
23,0.7773652076721191,621,192
24,0.8111259937286377,622,172
25,0.8446381092071533,623,152
26,0.8783388137817383,623,132
27,0.9127378463745117,624,112
28,0.9539039134979248,625,92
29,0.9884262084960938,626,72
30,1.0224626064300537,626,52
31,1.0575792789459229,627,32
32,1.0908002853393555,628,12
33,1.124091386795044,629,-7
34,1.1571788787841797,629,12
35,1.1912198066711426,630,32
36,1.2257733345031738,631,52
37,1.259059190750122,632,72
38,1.2922065258026123,632,92
39,1.3267557621002197,633,112
40,1.3601903915405273,634,132
41,1.3938124179840088,635,152
42,1.4269635677337646,635,172
43,1.4596731662750244,636,192
44,1.500807762145996,637,212
45,1.5349555015563965,637,232
46,1.5684096813201904,638,252
47,1.6018226146697998,639,272
48,1.634453296661377,640,292
49,1.6682841777801514,640,312
50,1.70212984085083,641,332
51,1.7352867126464844,642,352
52,1.768519401550293,643,372
53,1.8020195960998535,643,392
54,1.8365416526794434,644,412
55,1.86977219581604,645,432
56,1.9040234088897705,646,452
57,1.9383862018585205,646,472
58,1.972330093383789,647,492
59,2.0067903995513916,648,512
60,2.0403339862823486,649,532
61,2.074733257293701,649,552
62,2.1083433628082275,650,572
63,2.1421520709991455,651,592
64,2.1766176223754883,652,612
65,2.210651159286499,652,632
66,2.24436354637146,653,652
67,2.2781481742858887,654,672
68,2.3115949630737305,655,692
69,2.345526933670044,655,712
70,2.3792269229888916,656,692
71,2.41336727142334,657,672
72,2.4476046562194824,658,652
73,2.4808788299560547,658,632
74,2.5141193866729736,659,612
75,2.547034740447998,660,592
76,2.580213785171509,661,572
77,2.613652467727661,661,552
78,2.6472418308258057,662,532
79,2.68101167678833,663,512
80,2.714310646057129,664,492
81,2.7482547760009766,664,472
82,2.7822861671447754,665,452
83,2.8167595863342285,666,432
84,2.850059747695923,667,412
85,2.883211851119995,667,392
86,2.9174013137817383,668,372
87,2.9508752822875977,669,352
88,2.9844465255737305,670,332
89,3.018127918243408,670,312
90,3.0504562854766846,671,292
91,3.0840704441070557,672,272
92,3.1168622970581055,673,252
93,3.149832010269165,673,232
94,3.182527780532837,674,212
95,3.216021776199341,675,192
96,3.2493765354156494,676,172
97,3.2828285694122314,676,152
98,3.3158581256866455,677,132
99,3.3482675552368164,678,112
100,3.382094144821167,679,92
101,3.4149539470672607,679,72
